experimento,problema,tam_poblacion,n_generaciones,nc,nm,prob_cruce,prob_mutacion,torneo,penalizacion,n_runs,mejor_rendimiento,mejor_riesgo,mejor_fitness,media_rendimiento,std_rendimiento,media_riesgo,std_riesgo,media_fitness,std_fitness,err_medio_rendimiento,err_medio_riesgo,tiempo_total_seg
14,P2,200,300,15,20,0.9,0.05,3,100000.0,15,0.3592,0.00136,0.00136,0.359202,5e-06,0.00136,0.0,0.00136,0.0,0.000202,0.0,56.6
15,P3,200,300,15,20,0.9,0.05,3,100000.0,15,0.390207,0.002,-0.390207,0.389974,0.000178,0.002,0.0,-0.389974,0.000178,nan,0.0,49.81
16,P1,200,500,15,20,0.9,0.05,3,100000.0,15,0.690821,0.046012,-0.690821,0.685725,0.002561,0.04457,0.001591,-0.685725,0.002561,0.006275,0.001545,67.44
17,P2,200,500,15,20,0.9,0.05,3,100000.0,15,0.359202,0.00136,0.00136,0.359202,4e-06,0.00136,0.0,0.00136,0.0,0.000202,0.0,93.72
18,P3,200,500,15,20,0.9,0.05,3,100000.0,15,0.390207,0.002,-0.390207,0.390012,0.0002,0.002,0.0,-0.390012,0.0002,nan,0.0,80.7
19,P1,200,800,15,20,0.9,0.05,3,100000.0,15,0.689878,0.043386,-0.689878,0.684708,0.002706,0.044719,0.001985,-0.684708,0.002706,0.007292,0.001854,102.48
20,P2,200,800,15,20,0.9,0.05,3,100000.0,15,0.359202,0.00136,0.00136,0.359201,1e-06,0.00136,0.0,0.00136,0.0,0.000201,0.0,144.64
21,P3,200,800,15,20,0.9,0.05,3,100000.0,15,0.390196,0.002,-0.390196,0.390045,0.000138,0.002,1e-06,-0.390045,0.000138,nan,0.0,124.66
22,P1,200,500,5,20,0.9,0.05,3,100000.0,15,0.691403,0.045127,-0.691403,0.684066,0.003754,0.045396,0.002,-0.684066,0.003754,0.007934,0.001657,68.66
23,P2,200,500,5,20,0.9,0.05,3,100000.0,15,0.359199,0.00136,0.00136,0.359201,1e-06,0.00136,0.0,0.00136,0.0,0.000201,0.0,94.65
24,P3,200,500,5,20,0.9,0.05,3,100000.0,15,0.390168,0.001999,-0.390168,0.390031,0.000119,0.002,1e-06,-0.390031,0.000119,nan,0.0,81.95
