experimento,problema,run,tam_poblacion,n_generaciones,nc,nm,prob_cruce,prob_mutacion,torneo,penalizacion,BB,LOP,ILI,HEAL,QUI,AUA,rendimiento,riesgo,fitness,err_rendimiento,err_riesgo,tiempo_seg
7,P1,15,200,500,15,20,0.9,0.05,3,100000.0,0.005471,0.010857,0.399964,0.328637,0.250984,0.004087,0.686615,0.046044,-0.686615,0.005385,0.000564,0
10,P1,1,400,500,15,20,0.9,0.05,3,100000.0,0.0,0.170232,0.399997,0.271842,0.157847,8.2e-05,0.68005,0.047287,-0.68005,0.01195,0.001807,0
10,P1,2,400,500,15,20,0.9,0.05,3,100000.0,0.0,0.082936,0.399618,0.354656,0.162783,7e-06,0.686661,0.043469,-0.686661,0.005339,0.002011,0
10,P1,3,400,500,15,20,0.9,0.05,3,100000.0,0.013058,0.106089,0.399928,0.333423,0.147503,0.0,0.681659,0.043574,-0.681659,0.010341,0.001906,0
10,P1,4,400,500,15,20,0.9,0.05,3,100000.0,0.0,0.0223,0.399989,0.390113,0.187167,0.000431,0.690638,0.044478,-0.690638,0.001362,0.001002,0
10,P1,5,400,500,15,20,0.9,0.05,3,100000.0,0.0,0.091138,0.399557,0.329605,0.174177,0.005524,0.684416,0.043877,-0.684416,0.007584,0.001603,0
10,P1,6,400,500,15,20,0.9,0.05,3,100000.0,0.001124,0.059531,0.399718,0.399718,0.139909,0.0,0.689163,0.042881,-0.689163,0.002837,0.002599,0
10,P1,7,400,500,15,20,0.9,0.05,3,100000.0,0.0,0.028096,0.399878,0.364145,0.195367,0.012514,0.687374,0.044068,-0.687374,0.004626,0.001412,0
10,P1,8,400,500,15,20,0.9,0.05,3,100000.0,0.0,0.079413,0.399969,0.313985,0.205597,0.001035,0.685201,0.044778,-0.685201,0.006799,0.000702,0
10,P1,9,400,500,15,20,0.9,0.05,3,100000.0,0.0,0.03937,0.399998,0.364966,0.167319,0.028348,0.684487,0.042854,-0.684487,0.007513,0.002626,0
10,P1,10,400,500,15,20,0.9,0.05,3,100000.0,0.0,0.116331,0.39957,0.338098,0.146001,0.0,0.684639,0.043772,-0.684639,0.007361,0.001708,0
10,P1,11,400,500,15,20,0.9,0.05,3,100000.0,2.2e-05,0.089421,0.399792,0.322861,0.187747,0.000157,0.685194,0.044363,-0.685194,0.006806,0.001117,0
10,P1,12,400,500,15,20,0.9,0.05,3,100000.0,1e-06,0.032285,0.399246,0.356331,0.186175,0.025962,0.6844,0.043305,-0.6844,0.0076,0.002175,0
10,P1,13,400,500,15,20,0.9,0.05,3,100000.0,0.0,0.009498,0.399985,0.359942,0.230575,0.0,0.69001,0.04582,-0.69001,0.00199,0.00034,0
10,P1,14,400,500,15,20,0.9,0.05,3,100000.0,0.0,0.081551,0.399806,0.306269,0.190642,0.021732,0.681407,0.044198,-0.681407,0.010593,0.001282,0
10,P1,15,400,500,15,20,0.9,0.05,3,100000.0,1e-06,0.042471,0.399964,0.315467,0.240744,0.001353,0.686684,0.045616,-0.686684,0.005316,0.000136,0
13,P1,1,200,300,15,20,0.9,0.05,3,100000.0,7e-06,0.010194,0.399974,0.376727,0.212739,0.000358,0.690588,0.045358,-0.690588,0.001412,0.000122,0
13,P1,2,200,300,15,20,0.9,0.05,3,100000.0,0.000179,0.058213,0.399896,0.390846,0.14717,0.003696,0.688611,0.042959,-0.688611,0.003389,0.002521,0
13,P1,3,200,300,15,20,0.9,0.05,3,100000.0,0.000652,0.114197,0.399929,0.286534,0.192722,0.005966,0.681731,0.04543,-0.681731,0.010269,5e-05,0
13,P1,4,200,300,15,20,0.9,0.05,3,100000.0,0.0,0.035271,0.399478,0.389582,0.172736,0.002932,0.689422,0.043716,-0.689422,0.002578,0.001764,0
13,P1,5,200,300,15,20,0.9,0.05,3,100000.0,0.0,0.11564,0.399372,0.288453,0.196534,0.0,0.682574,0.045455,-0.682574,0.009426,2.5e-05,0
13,P1,6,200,300,15,20,0.9,0.05,3,100000.0,0.0,0.109837,0.399985,0.396019,0.084205,0.009955,0.685846,0.04202,-0.685846,0.006154,0.00346,0
13,P1,7,200,300,15,20,0.9,0.05,3,100000.0,2.9e-05,0.140453,0.399975,0.282186,0.172015,0.005342,0.680794,0.045974,-0.680794,0.011206,0.000494,0
13,P1,8,200,300,15,20,0.9,0.05,3,100000.0,0.0,0.068408,0.399995,0.340935,0.190477,0.000186,0.686868,0.04416,-0.686868,0.005132,0.00132,0
13,P1,9,200,300,15,20,0.9,0.05,3,100000.0,1e-06,0.07711,0.399463,0.327842,0.19383,0.001755,0.685458,0.044239,-0.685458,0.006542,0.001241,0
13,P1,10,200,300,15,20,0.9,0.05,3,100000.0,0.0,0.005735,0.399755,0.399755,0.193776,0.000979,0.691472,0.045061,-0.691472,0.000528,0.000419,0
13,P1,11,200,300,15,20,0.9,0.05,3,100000.0,0.0,0.017643,0.399957,0.320666,0.225218,0.036516,0.682255,0.044489,-0.682255,0.009745,0.000991,0
13,P1,12,200,300,15,20,0.9,0.05,3,100000.0,0.0,0.01266,0.399927,0.294918,0.292494,0.0,0.687251,0.047676,-0.687251,0.004749,0.002196,0
13,P1,13,200,300,15,20,0.9,0.05,3,100000.0,0.0,0.043448,0.399527,0.299538,0.25747,1.7e-05,0.685985,0.046147,-0.685985,0.006015,0.000667,0
13,P1,14,200,300,15,20,0.9,0.05,3,100000.0,0.000374,0.082389,0.399969,0.323767,0.187674,0.005826,0.684609,0.044194,-0.684609,0.007391,0.001286,0
13,P1,15,200,300,15,20,0.9,0.05,3,100000.0,2e-06,0.051848,0.399852,0.309027,0.207361,0.031911,0.681101,0.044126,-0.681101,0.010899,0.001354,0
16,P1,1,200,500,15,20,0.9,0.05,3,100000.0,0.002018,0.082196,0.397207,0.390226,0.124397,0.003956,0.685656,0.041999,-0.685656,0.006344,0.003481,0
16,P1,2,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.000159,0.399999,0.372257,0.227195,0.00039,0.690821,0.046012,-0.690821,0.001179,0.000532,0
16,P1,3,200,500,15,20,0.9,0.05,3,100000.0,0.001262,0.076947,0.399999,0.356439,0.165354,0.0,0.686851,0.043524,-0.686851,0.005149,0.001956,0
16,P1,4,200,500,15,20,0.9,0.05,3,100000.0,5.4e-05,0.109466,0.399856,0.293507,0.195126,0.001991,0.682951,0.045267,-0.682951,0.009049,0.000213,0
16,P1,5,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.103941,0.399954,0.336546,0.153144,0.006414,0.684253,0.043647,-0.684253,0.007747,0.001833,0
16,P1,6,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.044064,0.399688,0.39696,0.14199,0.017298,0.68718,0.042492,-0.68718,0.00482,0.002988,0
16,P1,7,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.065153,0.399815,0.378036,0.153289,0.003708,0.687822,0.043064,-0.687822,0.004178,0.002416,0
16,P1,8,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.09839,0.399991,0.29749,0.203506,0.000622,0.68386,0.045206,-0.68386,0.00814,0.000274,0
16,P1,9,200,500,15,20,0.9,0.05,3,100000.0,0.002599,0.046727,0.399994,0.343594,0.206646,0.00044,0.687125,0.044525,-0.687125,0.004875,0.000955,0
16,P1,10,200,500,15,20,0.9,0.05,3,100000.0,1.7e-05,0.038853,0.399997,0.309434,0.251411,0.000289,0.686771,0.046013,-0.686771,0.005229,0.000533,0
16,P1,11,200,500,15,20,0.9,0.05,3,100000.0,1e-06,0.024759,0.399998,0.323317,0.251924,1e-06,0.687941,0.046135,-0.687941,0.004059,0.000655,0
16,P1,12,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.132105,0.399998,0.252826,0.215026,4.5e-05,0.68082,0.047234,-0.68082,0.01118,0.001754,0
16,P1,13,200,500,15,20,0.9,0.05,3,100000.0,0.000765,0.08985,0.4,0.373748,0.135347,0.00029,0.68711,0.042926,-0.68711,0.00489,0.002554,0
16,P1,14,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.050546,0.399926,0.278992,0.270536,0.0,0.685098,0.046771,-0.685098,0.006902,0.001291,0
16,P1,15,200,500,15,20,0.9,0.05,3,100000.0,1.3e-05,0.100206,0.399783,0.320035,0.160814,0.01915,0.681609,0.043737,-0.681609,0.010391,0.001743,0
19,P1,1,200,800,15,20,0.9,0.05,3,100000.0,0.0,0.124975,0.399533,0.30307,0.165413,0.007008,0.681751,0.0448,-0.681751,0.010249,0.00068,0
19,P1,2,200,800,15,20,0.9,0.05,3,100000.0,5.5e-05,0.058282,0.399999,0.304835,0.236377,0.000451,0.685775,0.045558,-0.685775,0.006225,7.8e-05,0
19,P1,3,200,800,15,20,0.9,0.05,3,100000.0,0.002071,0.11307,0.4,0.332611,0.152202,4.6e-05,0.684236,0.043945,-0.684236,0.007764,0.001535,0
19,P1,4,200,800,15,20,0.9,0.05,3,100000.0,9.2e-05,0.012777,0.399987,0.304016,0.283127,0.0,0.687619,0.047344,-0.687619,0.004381,0.001864,0
19,P1,5,200,800,15,20,0.9,0.05,3,100000.0,0.0,0.080564,0.399959,0.239356,0.280091,3e-05,0.682324,0.047862,-0.682324,0.009676,0.002382,0
19,P1,6,200,800,15,20,0.9,0.05,3,100000.0,0.013095,0.164064,0.399629,0.399742,0.022356,0.001114,0.681643,0.04286,-0.681643,0.010357,0.00262,0
19,P1,7,200,800,15,20,0.9,0.05,3,100000.0,0.0,0.048154,0.399981,0.395366,0.156499,0.0,0.689878,0.043386,-0.689878,0.002122,0.002094,0
19,P1,8,200,800,15,20,0.9,0.05,3,100000.0,0.0,0.070022,0.4,0.28888,0.241098,0.0,0.684754,0.045907,-0.684754,0.007246,0.000427,0
19,P1,9,200,800,15,20,0.9,0.05,3,100000.0,0.000765,0.062821,0.399981,0.369976,0.165618,0.000839,0.687943,0.043443,-0.687943,0.004057,0.002037,0
19,P1,10,200,800,15,20,0.9,0.05,3,100000.0,0.0,0.068643,0.399999,0.294113,0.237245,0.0,0.685018,0.045735,-0.685018,0.006982,0.000255,0
19,P1,11,200,800,15,20,0.9,0.05,3,100000.0,0.001263,0.025676,0.399946,0.382582,0.160668,0.029864,0.685141,0.04271,-0.685141,0.006859,0.00277,0
19,P1,12,200,800,15,20,0.9,0.05,3,100000.0,3.4e-05,0.113108,0.399965,0.399655,0.085405,0.001833,0.687141,0.042242,-0.687141,0.004859,0.003238,0
19,P1,13,200,800,15,20,0.9,0.05,3,100000.0,0.0,0.145549,0.399294,0.399294,0.051675,0.004187,0.685099,0.042424,-0.685099,0.006901,0.003056,0
19,P1,14,200,800,15,20,0.9,0.05,3,100000.0,0.0,0.069358,0.4,0.322402,0.189124,0.019117,0.683063,0.043893,-0.683063,0.008937,0.001587,0
19,P1,15,200,800,15,20,0.9,0.05,3,100000.0,0.0,0.145716,0.399999,0.22782,0.226164,0.000302,0.679235,0.048668,-0.679235,0.012765,0.003188,0
22,P1,1,200,500,5,20,0.9,0.05,3,100000.0,0.0,0.036938,0.397071,0.397563,0.168393,3.5e-05,0.688838,0.043345,-0.688838,0.003162,0.002135,0
22,P1,2,200,500,5,20,0.9,0.05,3,100000.0,0.000204,0.126889,0.399993,0.261936,0.196696,0.014282,0.67906,0.046421,-0.67906,0.01294,0.000941,0
22,P1,3,200,500,5,20,0.9,0.05,3,100000.0,0.0,0.150112,0.399565,0.218839,0.231411,7.4e-05,0.678502,0.049137,-0.678502,0.013498,0.003657,0
22,P1,4,200,500,5,20,0.9,0.05,3,100000.0,0.003132,0.031124,0.399808,0.291214,0.274722,0.0,0.685486,0.046789,-0.685486,0.006514,0.001309,0
22,P1,5,200,500,5,20,0.9,0.05,3,100000.0,0.0,0.02787,0.399986,0.354417,0.203021,0.014705,0.686701,0.044223,-0.686701,0.005299,0.001257,0
22,P1,6,200,500,5,20,0.9,0.05,3,100000.0,0.012962,0.167768,0.4,0.390913,0.027355,0.001001,0.681395,0.043241,-0.681395,0.010605,0.002239,0
22,P1,7,200,500,5,20,0.9,0.05,3,100000.0,0.000324,0.06561,0.4,0.333501,0.197638,0.002928,0.686163,0.044299,-0.686163,0.005837,0.001181,0
22,P1,8,200,500,5,20,0.9,0.05,3,100000.0,0.0,0.047735,0.4,0.325208,0.224725,0.002332,0.686726,0.045076,-0.686726,0.005274,0.000404,0
22,P1,9,200,500,5,20,0.9,0.05,3,100000.0,0.0,0.190216,0.399961,0.290335,0.119485,3e-06,0.679983,0.047292,-0.679983,0.012017,0.001812,0
22,P1,10,200,500,5,20,0.9,0.05,3,100000.0,0.0,0.066086,0.4,0.324737,0.208064,0.001113,0.686168,0.044665,-0.686168,0.005832,0.000815,0
22,P1,11,200,500,5,20,0.9,0.05,3,100000.0,3e-05,0.127949,0.399972,0.204202,0.265194,0.002654,0.678603,0.049556,-0.678603,0.013397,0.004076,0
22,P1,12,200,500,5,20,0.9,0.05,3,100000.0,4e-05,0.129473,0.399999,0.322618,0.147529,0.000341,0.68366,0.044434,-0.68366,0.00834,0.001046,0
22,P1,13,200,500,5,20,0.9,0.05,3,100000.0,0.0,0.09677,0.399963,0.306225,0.19704,1e-06,0.684358,0.044912,-0.684358,0.007642,0.000568,0
22,P1,14,200,500,5,20,0.9,0.05,3,100000.0,0.018238,0.048814,0.39985,0.387799,0.140324,0.004975,0.68394,0.042425,-0.68394,0.00806,0.003055,0
22,P1,15,200,500,5,20,0.9,0.05,3,100000.0,0.0,0.005835,0.399998,0.396232,0.196608,0.001327,0.691403,0.045127,-0.691403,0.000597,0.000353,0
25,P1,1,200,500,15,20,0.9,0.05,3,100000.0,0.0,0.031328,0.399998,0.38969,0.170318,0.008666,0.688947,0.043596,-0.688947,0.003053,0.001884,0
